,index,treatment,threshold,round,player,decision,score,timeup,time,room,date,num_players,group,choice
0,0,downwards,0.109375,1.0,589037721408239,1.0,1.0,0.0,3631.0,7,12-13-2023,8,7,1.0
1,1,downwards,0.109375,1.0,586994455133371,1.0,1.0,0.0,4885.0,7,12-13-2023,8,7,1.0
2,2,downwards,0.109375,1.0,810776187068695,1.0,1.0,0.0,9049.0,7,12-13-2023,8,7,1.0
3,3,downwards,0.109375,1.0,776347950518335,0.0,0.0,0.0,4979.0,7,12-13-2023,8,7,0.0
4,4,downwards,0.109375,1.0,754052083594053,1.0,1.0,0.0,3332.0,7,12-13-2023,8,7,1.0
5,5,downwards,0.109375,1.0,644915145220339,1.0,1.0,0.0,10589.0,7,12-13-2023,8,7,1.0
6,6,downwards,0.109375,1.0,245554916079783,1.0,1.0,0.0,7876.0,7,12-13-2023,8,7,1.0
7,7,downwards,0.109375,1.0,620856434907686,1.0,1.0,0.0,5644.0,7,12-13-2023,8,7,1.0
8,8,downwards,0.109375,2.0,589037721408239,1.0,1.0,0.0,1329.0,7,12-13-2023,8,7,1.0
9,9,downwards,0.109375,2.0,586994455133371,1.0,1.0,0.0,1693.0,7,12-13-2023,8,7,1.0
10,10,downwards,0.109375,2.0,810776187068695,1.0,1.0,0.0,4177.0,7,12-13-2023,8,7,1.0
11,11,downwards,0.109375,2.0,776347950518335,0.0,0.0,0.0,11863.0,7,12-13-2023,8,7,0.0
12,12,downwards,0.109375,2.0,754052083594053,1.0,1.0,0.0,2478.0,7,12-13-2023,8,7,1.0
13,13,downwards,0.109375,2.0,644915145220339,1.0,1.0,0.0,3656.0,7,12-13-2023,8,7,1.0
14,14,downwards,0.109375,2.0,245554916079783,1.0,1.0,0.0,2237.0,7,12-13-2023,8,7,1.0
15,15,downwards,0.109375,2.0,620856434907686,0.0,0.0,0.0,2033.0,7,12-13-2023,8,7,0.0
16,16,downwards,0.109375,3.0,589037721408239,1.0,1.0,0.0,1620.0,7,12-13-2023,8,7,1.0
17,17,downwards,0.109375,3.0,586994455133371,0.0,0.0,0.0,2289.0,7,12-13-2023,8,7,0.0
18,18,downwards,0.109375,3.0,810776187068695,1.0,1.0,0.0,3907.0,7,12-13-2023,8,7,1.0
19,19,downwards,0.109375,3.0,776347950518335,0.0,0.0,0.0,6147.0,7,12-13-2023,8,7,0.0
20,20,downwards,0.109375,3.0,754052083594053,1.0,1.0,0.0,5780.0,7,12-13-2023,8,7,1.0
21,21,downwards,0.109375,3.0,644915145220339,1.0,1.0,0.0,4940.0,7,12-13-2023,8,7,1.0
22,22,downwards,0.109375,3.0,245554916079783,1.0,1.0,0.0,2494.0,7,12-13-2023,8,7,1.0
23,23,downwards,0.109375,3.0,620856434907686,1.0,1.0,0.0,1548.0,7,12-13-2023,8,7,1.0
24,24,downwards,0.109375,4.0,589037721408239,1.0,1.0,0.0,1184.0,7,12-13-2023,8,7,1.0
25,25,downwards,0.109375,4.0,586994455133371,1.0,1.0,0.0,3948.0,7,12-13-2023,8,7,1.0
26,26,downwards,0.109375,4.0,810776187068695,1.0,1.0,0.0,2794.0,7,12-13-2023,8,7,1.0
27,27,downwards,0.109375,4.0,776347950518335,1.0,1.0,0.0,2668.0,7,12-13-2023,8,7,1.0
28,28,downwards,0.109375,4.0,754052083594053,1.0,1.0,0.0,2875.0,7,12-13-2023,8,7,1.0
29,29,downwards,0.109375,4.0,644915145220339,0.0,0.0,0.0,3169.0,7,12-13-2023,8,7,0.0
30,30,downwards,0.109375,4.0,245554916079783,1.0,1.0,0.0,2606.0,7,12-13-2023,8,7,1.0
31,31,downwards,0.109375,4.0,620856434907686,1.0,1.0,0.0,1448.0,7,12-13-2023,8,7,1.0
32,32,downwards,0.109375,5.0,589037721408239,1.0,1.0,0.0,655.0,7,12-13-2023,8,7,1.0
33,33,downwards,0.109375,5.0,586994455133371,1.0,1.0,0.0,1284.0,7,12-13-2023,8,7,1.0
34,34,downwards,0.109375,5.0,810776187068695,1.0,1.0,0.0,2006.0,7,12-13-2023,8,7,1.0
35,35,downwards,0.109375,5.0,776347950518335,0.0,0.0,0.0,2337.0,7,12-13-2023,8,7,0.0
36,36,downwards,0.109375,5.0,754052083594053,0.0,0.0,0.0,1735.0,7,12-13-2023,8,7,0.0
37,37,downwards,0.109375,5.0,644915145220339,1.0,1.0,0.0,2117.0,7,12-13-2023,8,7,1.0
38,38,downwards,0.109375,5.0,245554916079783,0.0,0.0,0.0,2024.0,7,12-13-2023,8,7,0.0
39,39,downwards,0.109375,5.0,620856434907686,0.0,0.0,0.0,1242.0,7,12-13-2023,8,7,0.0
40,40,downwards,0.109375,6.0,589037721408239,1.0,-1.0,0.0,571.0,7,12-13-2023,8,7,1.0
41,41,downwards,0.109375,6.0,586994455133371,1.0,-1.0,0.0,1570.0,7,12-13-2023,8,7,1.0
42,42,downwards,0.109375,6.0,810776187068695,1.0,-1.0,0.0,2256.0,7,12-13-2023,8,7,1.0
43,43,downwards,0.109375,6.0,776347950518335,1.0,-1.0,0.0,1193.0,7,12-13-2023,8,7,1.0
44,44,downwards,0.109375,6.0,754052083594053,1.0,-1.0,0.0,1742.0,7,12-13-2023,8,7,1.0
45,45,downwards,0.109375,6.0,644915145220339,1.0,-1.0,0.0,2599.0,7,12-13-2023,8,7,1.0
46,46,downwards,0.109375,6.0,245554916079783,1.0,-1.0,0.0,1438.0,7,12-13-2023,8,7,1.0
47,47,downwards,0.109375,6.0,620856434907686,1.0,-1.0,0.0,1228.0,7,12-13-2023,8,7,1.0
48,48,downwards,0.109375,7.0,589037721408239,1.0,1.0,0.0,671.0,7,12-13-2023,8,7,1.0
49,49,downwards,0.109375,7.0,586994455133371,0.0,0.0,0.0,2233.0,7,12-13-2023,8,7,0.0
50,50,downwards,0.109375,7.0,810776187068695,1.0,1.0,0.0,3701.0,7,12-13-2023,8,7,1.0
51,51,downwards,0.109375,7.0,776347950518335,0.0,0.0,0.0,1893.0,7,12-13-2023,8,7,0.0
52,52,downwards,0.109375,7.0,754052083594053,1.0,1.0,0.0,2443.0,7,12-13-2023,8,7,1.0
53,53,downwards,0.109375,7.0,644915145220339,1.0,1.0,0.0,1648.0,7,12-13-2023,8,7,1.0
54,54,downwards,0.109375,7.0,245554916079783,1.0,1.0,0.0,1722.0,7,12-13-2023,8,7,1.0
55,55,downwards,0.109375,7.0,620856434907686,0.0,0.0,0.0,1028.0,7,12-13-2023,8,7,0.0
56,56,downwards,0.109375,8.0,589037721408239,1.0,-1.0,0.0,750.0,7,12-13-2023,8,7,1.0
57,57,downwards,0.109375,8.0,586994455133371,1.0,-1.0,0.0,3367.0,7,12-13-2023,8,7,1.0
58,58,downwards,0.109375,8.0,810776187068695,1.0,-1.0,0.0,2322.0,7,12-13-2023,8,7,1.0
59,59,downwards,0.109375,8.0,776347950518335,1.0,-1.0,0.0,4599.0,7,12-13-2023,8,7,1.0
60,60,downwards,0.109375,8.0,754052083594053,1.0,-1.0,0.0,3609.0,7,12-13-2023,8,7,1.0
61,61,downwards,0.109375,8.0,644915145220339,1.0,-1.0,0.0,1334.0,7,12-13-2023,8,7,1.0
62,62,downwards,0.109375,8.0,245554916079783,1.0,-1.0,0.0,1685.0,7,12-13-2023,8,7,1.0
63,63,downwards,0.109375,8.0,620856434907686,1.0,-1.0,0.0,1375.0,7,12-13-2023,8,7,1.0
64,64,downwards,0.109375,9.0,589037721408239,1.0,1.0,0.0,1175.0,7,12-13-2023,8,7,1.0
65,65,downwards,0.109375,9.0,586994455133371,0.0,0.0,0.0,1706.0,7,12-13-2023,8,7,0.0
66,66,downwards,0.109375,9.0,810776187068695,1.0,1.0,0.0,2470.0,7,12-13-2023,8,7,1.0
67,67,downwards,0.109375,9.0,776347950518335,0.0,0.0,0.0,1746.0,7,12-13-2023,8,7,0.0
68,68,downwards,0.109375,9.0,754052083594053,1.0,1.0,0.0,2424.0,7,12-13-2023,8,7,1.0
69,69,downwards,0.109375,9.0,644915145220339,1.0,1.0,0.0,1334.0,7,12-13-2023,8,7,1.0
70,70,downwards,0.109375,9.0,245554916079783,0.0,0.0,0.0,1600.0,7,12-13-2023,8,7,0.0
71,71,downwards,0.109375,9.0,620856434907686,0.0,0.0,0.0,1389.0,7,12-13-2023,8,7,0.0
72,72,downwards,0.109375,10.0,589037721408239,1.0,1.0,0.0,869.0,7,12-13-2023,8,7,1.0
73,73,downwards,0.109375,10.0,586994455133371,0.0,0.0,0.0,1522.0,7,12-13-2023,8,7,0.0
74,74,downwards,0.109375,10.0,810776187068695,0.0,0.0,0.0,2231.0,7,12-13-2023,8,7,0.0
75,75,downwards,0.109375,10.0,776347950518335,0.0,0.0,0.0,1738.0,7,12-13-2023,8,7,0.0
76,76,downwards,0.109375,10.0,754052083594053,0.0,0.0,0.0,1354.0,7,12-13-2023,8,7,0.0
77,77,downwards,0.109375,10.0,644915145220339,0.0,0.0,0.0,1822.0,7,12-13-2023,8,7,0.0
78,78,downwards,0.109375,10.0,245554916079783,0.0,0.0,0.0,1142.0,7,12-13-2023,8,7,0.0
79,79,downwards,0.109375,10.0,620856434907686,1.0,1.0,0.0,1208.0,7,12-13-2023,8,7,1.0
80,80,downwards,0.109375,11.0,589037721408239,1.0,1.0,0.0,789.0,7,12-13-2023,8,7,1.0
81,81,downwards,0.109375,11.0,586994455133371,0.0,0.0,0.0,1506.0,7,12-13-2023,8,7,0.0
82,82,downwards,0.109375,11.0,810776187068695,0.0,0.0,0.0,1749.0,7,12-13-2023,8,7,0.0
83,83,downwards,0.109375,11.0,776347950518335,1.0,1.0,0.0,1285.0,7,12-13-2023,8,7,1.0
84,84,downwards,0.109375,11.0,754052083594053,1.0,1.0,0.0,1693.0,7,12-13-2023,8,7,1.0
85,85,downwards,0.109375,11.0,644915145220339,0.0,0.0,0.0,1635.0,7,12-13-2023,8,7,0.0
86,86,downwards,0.109375,11.0,245554916079783,0.0,0.0,0.0,2720.0,7,12-13-2023,8,7,0.0
87,87,downwards,0.109375,11.0,620856434907686,0.0,0.0,0.0,1108.0,7,12-13-2023,8,7,0.0
88,88,downwards,0.109375,12.0,589037721408239,1.0,1.0,0.0,521.0,7,12-13-2023,8,7,1.0
89,89,downwards,0.109375,12.0,586994455133371,1.0,1.0,0.0,2109.0,7,12-13-2023,8,7,1.0
90,90,downwards,0.109375,12.0,810776187068695,1.0,1.0,0.0,1767.0,7,12-13-2023,8,7,1.0
91,91,downwards,0.109375,12.0,776347950518335,0.0,0.0,0.0,2552.0,7,12-13-2023,8,7,0.0
92,92,downwards,0.109375,12.0,754052083594053,1.0,1.0,0.0,1830.0,7,12-13-2023,8,7,1.0
93,93,downwards,0.109375,12.0,644915145220339,0.0,0.0,0.0,1187.0,7,12-13-2023,8,7,0.0
94,94,downwards,0.109375,12.0,245554916079783,1.0,1.0,0.0,1273.0,7,12-13-2023,8,7,1.0
95,95,downwards,0.109375,12.0,620856434907686,0.0,0.0,0.0,1036.0,7,12-13-2023,8,7,0.0
96,96,downwards,0.109375,13.0,589037721408239,1.0,1.0,0.0,579.0,7,12-13-2023,8,7,1.0
97,97,downwards,0.109375,13.0,586994455133371,1.0,1.0,0.0,2224.0,7,12-13-2023,8,7,1.0
98,98,downwards,0.109375,13.0,810776187068695,1.0,1.0,0.0,1277.0,7,12-13-2023,8,7,1.0
99,99,downwards,0.109375,13.0,776347950518335,1.0,1.0,0.0,1114.0,7,12-13-2023,8,7,1.0
100,100,downwards,0.109375,13.0,754052083594053,1.0,1.0,0.0,2695.0,7,12-13-2023,8,7,1.0
101,101,downwards,0.109375,13.0,644915145220339,0.0,0.0,0.0,1477.0,7,12-13-2023,8,7,0.0
102,102,downwards,0.109375,13.0,245554916079783,1.0,1.0,0.0,1249.0,7,12-13-2023,8,7,1.0
103,103,downwards,0.109375,13.0,620856434907686,1.0,1.0,0.0,992.0,7,12-13-2023,8,7,1.0
104,104,downwards,0.109375,14.0,589037721408239,1.0,1.0,0.0,551.0,7,12-13-2023,8,7,1.0
105,105,downwards,0.109375,14.0,586994455133371,0.0,0.0,0.0,1569.0,7,12-13-2023,8,7,0.0
106,106,downwards,0.109375,14.0,810776187068695,1.0,1.0,0.0,1550.0,7,12-13-2023,8,7,1.0
107,107,downwards,0.109375,14.0,776347950518335,1.0,1.0,0.0,1176.0,7,12-13-2023,8,7,1.0
108,108,downwards,0.109375,14.0,754052083594053,1.0,1.0,0.0,1147.0,7,12-13-2023,8,7,1.0
109,109,downwards,0.109375,14.0,644915145220339,1.0,1.0,0.0,1005.0,7,12-13-2023,8,7,1.0
110,110,downwards,0.109375,14.0,245554916079783,1.0,1.0,0.0,2370.0,7,12-13-2023,8,7,1.0
111,111,downwards,0.109375,14.0,620856434907686,1.0,1.0,0.0,1049.0,7,12-13-2023,8,7,1.0
112,112,downwards,0.109375,15.0,589037721408239,1.0,1.0,0.0,800.0,7,12-13-2023,8,7,1.0
113,113,downwards,0.109375,15.0,586994455133371,0.0,0.0,0.0,2832.0,7,12-13-2023,8,7,0.0
114,114,downwards,0.109375,15.0,810776187068695,1.0,1.0,0.0,1334.0,7,12-13-2023,8,7,1.0
115,115,downwards,0.109375,15.0,776347950518335,1.0,1.0,0.0,2119.0,7,12-13-2023,8,7,1.0
116,116,downwards,0.109375,15.0,754052083594053,0.0,0.0,0.0,1732.0,7,12-13-2023,8,7,0.0
117,117,downwards,0.109375,15.0,644915145220339,0.0,0.0,0.0,1098.0,7,12-13-2023,8,7,0.0
118,118,downwards,0.109375,15.0,245554916079783,1.0,1.0,0.0,1032.0,7,12-13-2023,8,7,1.0
119,119,downwards,0.109375,15.0,620856434907686,1.0,1.0,0.0,1618.0,7,12-13-2023,8,7,1.0
120,120,downwards,0.109375,16.0,589037721408239,1.0,1.0,0.0,458.0,7,12-13-2023,8,7,1.0
121,121,downwards,0.109375,16.0,586994455133371,1.0,1.0,0.0,1787.0,7,12-13-2023,8,7,1.0
122,122,downwards,0.109375,16.0,810776187068695,1.0,1.0,0.0,2110.0,7,12-13-2023,8,7,1.0
123,123,downwards,0.109375,16.0,776347950518335,0.0,0.0,0.0,1280.0,7,12-13-2023,8,7,0.0
124,124,downwards,0.109375,16.0,754052083594053,1.0,1.0,0.0,837.0,7,12-13-2023,8,7,1.0
125,125,downwards,0.109375,16.0,644915145220339,1.0,1.0,0.0,1288.0,7,12-13-2023,8,7,1.0
126,126,downwards,0.109375,16.0,245554916079783,1.0,1.0,0.0,2583.0,7,12-13-2023,8,7,1.0
127,127,downwards,0.109375,16.0,620856434907686,0.0,0.0,0.0,1306.0,7,12-13-2023,8,7,0.0
128,128,downwards,0.109375,17.0,589037721408239,1.0,1.0,0.0,586.0,7,12-13-2023,8,7,1.0
129,129,downwards,0.109375,17.0,586994455133371,1.0,1.0,0.0,1682.0,7,12-13-2023,8,7,1.0
130,130,downwards,0.109375,17.0,810776187068695,1.0,1.0,0.0,3814.0,7,12-13-2023,8,7,1.0
131,131,downwards,0.109375,17.0,776347950518335,1.0,1.0,0.0,1100.0,7,12-13-2023,8,7,1.0
132,132,downwards,0.109375,17.0,754052083594053,1.0,1.0,0.0,1236.0,7,12-13-2023,8,7,1.0
133,133,downwards,0.109375,17.0,644915145220339,1.0,1.0,0.0,1726.0,7,12-13-2023,8,7,1.0
134,134,downwards,0.109375,17.0,245554916079783,1.0,1.0,0.0,3003.0,7,12-13-2023,8,7,1.0
135,135,downwards,0.109375,17.0,620856434907686,0.0,0.0,0.0,1370.0,7,12-13-2023,8,7,0.0
136,136,downwards,0.109375,18.0,589037721408239,1.0,1.0,0.0,838.0,7,12-13-2023,8,7,1.0
137,137,downwards,0.109375,18.0,586994455133371,0.0,0.0,0.0,1453.0,7,12-13-2023,8,7,0.0
138,138,downwards,0.109375,18.0,810776187068695,1.0,1.0,0.0,3864.0,7,12-13-2023,8,7,1.0
139,139,downwards,0.109375,18.0,776347950518335,0.0,0.0,0.0,2269.0,7,12-13-2023,8,7,0.0
140,140,downwards,0.109375,18.0,754052083594053,0.0,0.0,0.0,2151.0,7,12-13-2023,8,7,0.0
141,141,downwards,0.109375,18.0,644915145220339,0.0,0.0,0.0,1079.0,7,12-13-2023,8,7,0.0
142,142,downwards,0.109375,18.0,245554916079783,1.0,1.0,0.0,1987.0,7,12-13-2023,8,7,1.0
143,143,downwards,0.109375,18.0,620856434907686,0.0,0.0,0.0,1258.0,7,12-13-2023,8,7,0.0
144,144,downwards,0.109375,19.0,589037721408239,1.0,-1.0,0.0,621.0,7,12-13-2023,8,7,1.0
145,145,downwards,0.109375,19.0,586994455133371,1.0,-1.0,0.0,1743.0,7,12-13-2023,8,7,1.0
146,146,downwards,0.109375,19.0,810776187068695,1.0,-1.0,0.0,1685.0,7,12-13-2023,8,7,1.0
147,147,downwards,0.109375,19.0,776347950518335,1.0,-1.0,0.0,1419.0,7,12-13-2023,8,7,1.0
148,148,downwards,0.109375,19.0,754052083594053,1.0,-1.0,0.0,1439.0,7,12-13-2023,8,7,1.0
149,149,downwards,0.109375,19.0,644915145220339,1.0,-1.0,0.0,1314.0,7,12-13-2023,8,7,1.0
150,150,downwards,0.109375,19.0,245554916079783,1.0,-1.0,0.0,2179.0,7,12-13-2023,8,7,1.0
151,151,downwards,0.109375,19.0,620856434907686,1.0,-1.0,0.0,1323.0,7,12-13-2023,8,7,1.0
152,152,downwards,0.109375,20.0,589037721408239,1.0,1.0,0.0,780.0,7,12-13-2023,8,7,1.0
153,153,downwards,0.109375,20.0,586994455133371,1.0,1.0,0.0,2461.0,7,12-13-2023,8,7,1.0
154,154,downwards,0.109375,20.0,810776187068695,1.0,1.0,0.0,983.0,7,12-13-2023,8,7,1.0
155,155,downwards,0.109375,20.0,776347950518335,0.0,0.0,0.0,1847.0,7,12-13-2023,8,7,0.0
156,156,downwards,0.109375,20.0,754052083594053,1.0,1.0,0.0,1670.0,7,12-13-2023,8,7,1.0
157,157,downwards,0.109375,20.0,644915145220339,1.0,1.0,0.0,1342.0,7,12-13-2023,8,7,1.0
158,158,downwards,0.109375,20.0,245554916079783,1.0,1.0,0.0,2210.0,7,12-13-2023,8,7,1.0
159,159,downwards,0.109375,20.0,620856434907686,0.0,0.0,0.0,1316.0,7,12-13-2023,8,7,0.0
160,160,downwards,0.109375,21.0,589037721408239,1.0,1.0,0.0,599.0,7,12-13-2023,8,7,1.0
161,161,downwards,0.109375,21.0,586994455133371,1.0,1.0,0.0,1378.0,7,12-13-2023,8,7,1.0
162,162,downwards,0.109375,21.0,810776187068695,1.0,1.0,0.0,1605.0,7,12-13-2023,8,7,1.0
163,163,downwards,0.109375,21.0,776347950518335,1.0,1.0,0.0,1567.0,7,12-13-2023,8,7,1.0
164,164,downwards,0.109375,21.0,754052083594053,1.0,1.0,0.0,1512.0,7,12-13-2023,8,7,1.0
165,165,downwards,0.109375,21.0,644915145220339,0.0,0.0,0.0,1400.0,7,12-13-2023,8,7,0.0
166,166,downwards,0.109375,21.0,245554916079783,1.0,1.0,0.0,1725.0,7,12-13-2023,8,7,1.0
167,167,downwards,0.109375,21.0,620856434907686,0.0,0.0,0.0,841.0,7,12-13-2023,8,7,0.0
168,168,downwards,0.109375,22.0,589037721408239,1.0,1.0,0.0,528.0,7,12-13-2023,8,7,1.0
169,169,downwards,0.109375,22.0,586994455133371,1.0,1.0,0.0,1337.0,7,12-13-2023,8,7,1.0
170,170,downwards,0.109375,22.0,810776187068695,1.0,1.0,0.0,2137.0,7,12-13-2023,8,7,1.0
171,171,downwards,0.109375,22.0,776347950518335,0.0,0.0,0.0,1542.0,7,12-13-2023,8,7,0.0
172,172,downwards,0.109375,22.0,754052083594053,0.0,0.0,0.0,1705.0,7,12-13-2023,8,7,0.0
173,173,downwards,0.109375,22.0,644915145220339,1.0,1.0,0.0,1485.0,7,12-13-2023,8,7,1.0
174,174,downwards,0.109375,22.0,245554916079783,1.0,1.0,0.0,3155.0,7,12-13-2023,8,7,1.0
175,175,downwards,0.109375,22.0,620856434907686,0.0,0.0,0.0,1560.0,7,12-13-2023,8,7,0.0
176,176,downwards,0.109375,23.0,589037721408239,1.0,-1.0,0.0,697.0,7,12-13-2023,8,7,1.0
177,177,downwards,0.109375,23.0,586994455133371,1.0,-1.0,0.0,1200.0,7,12-13-2023,8,7,1.0
178,178,downwards,0.109375,23.0,810776187068695,1.0,-1.0,0.0,1341.0,7,12-13-2023,8,7,1.0
179,179,downwards,0.109375,23.0,776347950518335,1.0,-1.0,0.0,1432.0,7,12-13-2023,8,7,1.0
180,180,downwards,0.109375,23.0,754052083594053,1.0,-1.0,0.0,1982.0,7,12-13-2023,8,7,1.0
