,model,target,params
0,Priors-M1,0.43682539682539684,"{'inverse_temperature': np.float64(35.50806163887775), '0-go_prob_0': np.float64(1.0), '1-go_prob_0': np.float64(0.8973145486483395), '2-go_prob_0': np.float64(0.0), '3-go_prob_0': np.float64(0.7074455772608651), '4-go_prob_0': np.float64(0.0), '5-go_prob_0': np.float64(0.0)}"
1,Priors-M2,0.17253968253968255,"{'inverse_temperature': np.float64(9.942355143294051), '0-go_prob_(0, np.int64(0))': np.float64(0.7982358168100522), '0-go_prob_(0, np.int64(1))': np.float64(0.1166706579864909), '0-go_prob_(0, np.int64(2))': np.float64(0.571854987459088), '0-go_prob_(0, np.int64(3))': np.float64(0.06870011392645015), '0-go_prob_(0, np.int64(4))': np.float64(0.3189236175585687), '0-go_prob_(0, np.int64(5))': np.float64(0.08529939028164313), '0-go_prob_(0, np.int64(6))': np.float64(0.9277454745727741), '0-go_prob_(1, np.int64(0))': np.float64(0.1414538968697343), '0-go_prob_(1, np.int64(1))': np.float64(0.052329328106969886), '0-go_prob_(1, np.int64(2))': np.float64(0.4013329251286124), '0-go_prob_(1, np.int64(3))': np.float64(0.295133609982122), '0-go_prob_(1, np.int64(4))': np.float64(0.4935019976333177), '0-go_prob_(1, np.int64(5))': np.float64(0.5788363279732422), '0-go_prob_(1, np.int64(6))': np.float64(0.2218994629908405), '1-go_prob_(0, np.int64(0))': np.float64(0.06877464358698249), '1-go_prob_(0, np.int64(1))': np.float64(0.45673413255255824), '1-go_prob_(0, np.int64(2))': np.float64(0.1333393503236363), '1-go_prob_(0, np.int64(3))': np.float64(0.03264963894931572), '1-go_prob_(0, np.int64(4))': np.float64(0.9467194740542538), '1-go_prob_(0, np.int64(5))': np.float64(0.6945731207033098), '1-go_prob_(0, np.int64(6))': np.float64(0.4403379514892476), '1-go_prob_(1, np.int64(0))': np.float64(0.6336100107498576), '1-go_prob_(1, np.int64(1))': np.float64(0.7014916155722352), '1-go_prob_(1, np.int64(2))': np.float64(0.10695906826501678), '1-go_prob_(1, np.int64(3))': np.float64(0.8850918092688802), '1-go_prob_(1, np.int64(4))': np.float64(0.23928728104336205), '1-go_prob_(1, np.int64(5))': np.float64(0.8034306258707995), '1-go_prob_(1, np.int64(6))': np.float64(0.5870796136586551), '2-go_prob_(0, np.int64(0))': np.float64(0.720902492338419), '2-go_prob_(0, np.int64(1))': np.float64(0.8900659743065061), '2-go_prob_(0, np.int64(2))': np.float64(0.36481594122156535), '2-go_prob_(0, np.int64(3))': np.float64(0.5293899944265322), '2-go_prob_(0, np.int64(4))': np.float64(0.9639436482013981), '2-go_prob_(0, np.int64(5))': np.float64(0.15845714511394227), '2-go_prob_(0, np.int64(6))': np.float64(0.5592578929604729), '2-go_prob_(1, np.int64(0))': np.float64(0.26512340282979374), '2-go_prob_(1, np.int64(1))': np.float64(0.49951904777745604), '2-go_prob_(1, np.int64(2))': np.float64(0.6734839932717), '2-go_prob_(1, np.int64(3))': np.float64(0.6212511634045436), '2-go_prob_(1, np.int64(4))': np.float64(0.7009470270839556), '2-go_prob_(1, np.int64(5))': np.float64(0.7271441265234447), '2-go_prob_(1, np.int64(6))': np.float64(0.2949722917085905), '3-go_prob_(0, np.int64(0))': np.float64(0.9587053414908884), '3-go_prob_(0, np.int64(1))': np.float64(0.442727024513641), '3-go_prob_(0, np.int64(2))': np.float64(0.12075325481475208), '3-go_prob_(0, np.int64(3))': np.float64(0.45738147069785207), '3-go_prob_(0, np.int64(4))': np.float64(0.20938338633219833), '3-go_prob_(0, np.int64(5))': np.float64(0.27176383971454476), '3-go_prob_(0, np.int64(6))': np.float64(0.4234732921328176), '3-go_prob_(1, np.int64(0))': np.float64(0.46351449716255877), '3-go_prob_(1, np.int64(1))': np.float64(0.03865304693345051), '3-go_prob_(1, np.int64(2))': np.float64(0.7368791964133375), '3-go_prob_(1, np.int64(3))': np.float64(0.17891771351175467), '3-go_prob_(1, np.int64(4))': np.float64(0.8111017696873485), '3-go_prob_(1, np.int64(5))': np.float64(0.22645543230437493), '3-go_prob_(1, np.int64(6))': np.float64(0.5687758462196129), '4-go_prob_(0, np.int64(0))': np.float64(0.565398668640273), '4-go_prob_(0, np.int64(1))': np.float64(0.12021368130343324), '4-go_prob_(0, np.int64(2))': np.float64(0.1337807500500502), '4-go_prob_(0, np.int64(3))': np.float64(0.7750881783762227), '4-go_prob_(0, np.int64(4))': np.float64(0.20995404140932772), '4-go_prob_(0, np.int64(5))': np.float64(0.624426176666676), '4-go_prob_(0, np.int64(6))': np.float64(0.4786467809651431), '4-go_prob_(1, np.int64(0))': np.float64(0.8876826776498606), '4-go_prob_(1, np.int64(1))': np.float64(0.7444920641895999), '4-go_prob_(1, np.int64(2))': np.float64(0.782626383677125), '4-go_prob_(1, np.int64(3))': np.float64(0.05341102064053416), '4-go_prob_(1, np.int64(4))': np.float64(0.7011607586669203), '4-go_prob_(1, np.int64(5))': np.float64(0.046823113096506885), '4-go_prob_(1, np.int64(6))': np.float64(0.11850209178938098), '5-go_prob_(0, np.int64(0))': np.float64(0.7676444347470013), '5-go_prob_(0, np.int64(1))': np.float64(0.45133857274625133), '5-go_prob_(0, np.int64(2))': np.float64(0.3619393130994225), '5-go_prob_(0, np.int64(3))': np.float64(0.6517090376465561), '5-go_prob_(0, np.int64(4))': np.float64(0.16562033537991327), '5-go_prob_(0, np.int64(5))': np.float64(0.11920833100747952), '5-go_prob_(0, np.int64(6))': np.float64(0.28255723870352956), '5-go_prob_(1, np.int64(0))': np.float64(0.19296973899978376), '5-go_prob_(1, np.int64(1))': np.float64(0.9773932621365718), '5-go_prob_(1, np.int64(2))': np.float64(0.4350121411929544), '5-go_prob_(1, np.int64(3))': np.float64(0.24611746503961718), '5-go_prob_(1, np.int64(4))': np.float64(0.523798820500541), '5-go_prob_(1, np.int64(5))': np.float64(0.38339371015460855), '5-go_prob_(1, np.int64(6))': np.float64(0.2644140089340733)}"
2,Priors-M3,0.06142857142857143,"{'inverse_temperature': np.float64(23.858833458781575), '0-go_prob_0': np.float64(0.5178584394151656), '0-go_prob_1': np.float64(0.07224814813896097), '0-go_prob_2': np.float64(0.2787624654488773), '0-go_prob_3': np.float64(0.14074527253841995), '0-go_prob_4': np.float64(0.12056271908519145), '0-go_prob_5': np.float64(0.9813618305057358), '0-go_prob_6': np.float64(0.4787501661910166), '0-go_prob_7': np.float64(0.8153883922578306), '0-go_prob_8': np.float64(0.746953706047984), '0-go_prob_9': np.float64(0.7825053918348267), '0-go_prob_10': np.float64(0.8232016963178713), '0-go_prob_11': np.float64(0.9767667771581023), '0-go_prob_12': np.float64(0.9569928042326356), '0-go_prob_13': np.float64(0.38455856368584795), '0-go_prob_14': np.float64(0.2660822981320373), '0-go_prob_15': np.float64(0.5730736736500077), '0-go_prob_16': np.float64(0.28342313923363927), '0-go_prob_17': np.float64(0.38529255811125973), '0-go_prob_18': np.float64(0.8466400116276032), '0-go_prob_19': np.float64(0.7175261981982519), '0-go_prob_20': np.float64(0.07284556285683785), '0-go_prob_21': np.float64(0.04561621703282526), '0-go_prob_22': np.float64(0.6731655943243382), '0-go_prob_23': np.float64(0.463423982696328), '0-go_prob_24': np.float64(0.3138235618475076), '0-go_prob_25': np.float64(0.8931808982801948), '0-go_prob_26': np.float64(0.37648125787197295), '0-go_prob_27': np.float64(0.3457426730122398), '0-go_prob_28': np.float64(0.28184424137259345), '0-go_prob_29': np.float64(0.7501135905631646), '0-go_prob_30': np.float64(0.6040034521697931), '0-go_prob_31': np.float64(0.850673733290991), '0-go_prob_32': np.float64(0.48210366691820616), '0-go_prob_33': np.float64(0.7517791774245179), '0-go_prob_34': np.float64(0.8976524209551713), '0-go_prob_35': np.float64(0.6490517479195154), '0-go_prob_36': np.float64(0.5113861305514699), '0-go_prob_37': np.float64(0.04782481936147143), '0-go_prob_38': np.float64(0.7297369710348356), '0-go_prob_39': np.float64(0.7793610964872599), '0-go_prob_40': np.float64(0.19179989291395905), '0-go_prob_41': np.float64(0.33879136183181846), '0-go_prob_42': np.float64(0.31194963883596183), '0-go_prob_43': np.float64(0.20746798840520186), '0-go_prob_44': np.float64(0.15334577179616238), '0-go_prob_45': np.float64(0.6370364171625911), '0-go_prob_46': np.float64(0.9187284866549541), '0-go_prob_47': np.float64(0.468241946363562), '0-go_prob_48': np.float64(0.054889440989073), '0-go_prob_49': np.float64(0.443107040910539), '0-go_prob_50': np.float64(0.021963782845072832), '0-go_prob_51': np.float64(0.5276873082017732), '0-go_prob_52': np.float64(0.6270230158144909), '0-go_prob_53': np.float64(0.5939190962692857), '0-go_prob_54': np.float64(0.9221235403071485), '0-go_prob_55': np.float64(0.7519095276589868), '0-go_prob_56': np.float64(0.44862580241957484), '0-go_prob_57': np.float64(0.2528679239578978), '0-go_prob_58': np.float64(0.23805323985868676), '0-go_prob_59': np.float64(0.4796225905649416), '0-go_prob_60': np.float64(0.5748564699563229), '0-go_prob_61': np.float64(0.18201981309441595), '0-go_prob_62': np.float64(0.8556421965375547), '0-go_prob_63': np.float64(0.271164363606494), '1-go_prob_0': np.float64(0.4720681598977897), '1-go_prob_1': np.float64(0.5482795951360327), '1-go_prob_2': np.float64(0.3478466997471015), '1-go_prob_3': np.float64(0.6284651631970596), '1-go_prob_4': np.float64(0.030022508592389086), '1-go_prob_5': np.float64(0.204442707484498), '1-go_prob_6': np.float64(0.24073450257622653), '1-go_prob_7': np.float64(0.7686313944551907), '1-go_prob_8': np.float64(0.44074086763432263), '1-go_prob_9': np.float64(0.17832026016334768), '1-go_prob_10': np.float64(0.07645271382612129), '1-go_prob_11': np.float64(0.4487757652719553), '1-go_prob_12': np.float64(0.7224044893916137), '1-go_prob_13': np.float64(0.17888865012040867), '1-go_prob_14': np.float64(0.6437480537357153), '1-go_prob_15': np.float64(0.8706139577642085), '1-go_prob_16': np.float64(0.573539543595538), '1-go_prob_17': np.float64(0.3498733396143129), '1-go_prob_18': np.float64(0.15022679118927285), '1-go_prob_19': np.float64(0.5097089963033309), '1-go_prob_20': np.float64(0.005928882506817779), '1-go_prob_21': np.float64(0.4389766603642139), '1-go_prob_22': np.float64(0.17631971454324868), '1-go_prob_23': np.float64(0.8559144637781402), '1-go_prob_24': np.float64(0.9324500908888854), '1-go_prob_25': np.float64(0.24473744609704118), '1-go_prob_26': np.float64(0.5023889972796152), '1-go_prob_27': np.float64(0.17761423465278892), '1-go_prob_28': np.float64(0.8652756987533332), '1-go_prob_29': np.float64(0.509811529891872), '1-go_prob_30': np.float64(0.08758374484913278), '1-go_prob_31': np.float64(0.7133423188957256), '1-go_prob_32': np.float64(0.12532752617060572), '1-go_prob_33': np.float64(0.255050701101214), '1-go_prob_34': np.float64(0.12507596152288658), '1-go_prob_35': np.float64(0.08900084047983903), '1-go_prob_36': np.float64(0.33695645717099143), '1-go_prob_37': np.float64(0.3288743077518931), '1-go_prob_38': np.float64(0.38424800807563686), '1-go_prob_39': np.float64(0.858461488787663), '1-go_prob_40': np.float64(0.4191589673067764), '1-go_prob_41': np.float64(0.7185724879750054), '1-go_prob_42': np.float64(0.9367650695427718), '1-go_prob_43': np.float64(0.5192137254524324), '1-go_prob_44': np.float64(0.2077271737979407), '1-go_prob_45': np.float64(0.29991301135477344), '1-go_prob_46': np.float64(0.51327552363967), '1-go_prob_47': np.float64(0.08096992319817742), '1-go_prob_48': np.float64(0.9540214603705963), '1-go_prob_49': np.float64(0.5290304368463967), '1-go_prob_50': np.float64(0.6450077585942269), '1-go_prob_51': np.float64(0.8799825202584937), '1-go_prob_52': np.float64(0.1316748114215377), '1-go_prob_53': np.float64(0.6719768479742897), '1-go_prob_54': np.float64(0.81550786459438), '1-go_prob_55': np.float64(0.1378855343478691), '1-go_prob_56': np.float64(0.6783537477699592), '1-go_prob_57': np.float64(0.7853625319055549), '1-go_prob_58': np.float64(0.29901688761716005), '1-go_prob_59': np.float64(0.10726706496693528), '1-go_prob_60': np.float64(0.7134614524046559), '1-go_prob_61': np.float64(0.6516341208281324), '1-go_prob_62': np.float64(0.9981300182476004), '1-go_prob_63': np.float64(0.49025234210861923), '2-go_prob_0': np.float64(0.3340983125355541), '2-go_prob_1': np.float64(0.39600426047814163), '2-go_prob_2': np.float64(0.2474540791489701), '2-go_prob_3': np.float64(0.5319202710096191), '2-go_prob_4': np.float64(0.7004549726747966), '2-go_prob_5': np.float64(0.5135807395107094), '2-go_prob_6': np.float64(0.007227705704060727), '2-go_prob_7': np.float64(0.16043013799339712), '2-go_prob_8': np.float64(0.09958112667278951), '2-go_prob_9': np.float64(0.9289165283721206), '2-go_prob_10': np.float64(0.05587357522681613), '2-go_prob_11': np.float64(0.571854523634864), '2-go_prob_12': np.float64(0.418923452894992), '2-go_prob_13': np.float64(0.9273108506639095), '2-go_prob_14': np.float64(0.23625638775291502), '2-go_prob_15': np.float64(0.7211948951357557), '2-go_prob_16': np.float64(0.9233781183284806), '2-go_prob_17': np.float64(0.9530116792876793), '2-go_prob_18': np.float64(0.5325131405606571), '2-go_prob_19': np.float64(0.8073347908120119), '2-go_prob_20': np.float64(0.4445959342660861), '2-go_prob_21': np.float64(0.014098750977922125), '2-go_prob_22': np.float64(0.1560414574147928), '2-go_prob_23': np.float64(0.7273920048672067), '2-go_prob_24': np.float64(0.0722738738908969), '2-go_prob_25': np.float64(0.37915021669540205), '2-go_prob_26': np.float64(0.12505781510449854), '2-go_prob_27': np.float64(0.5301882111450372), '2-go_prob_28': np.float64(0.0046581613105095565), '2-go_prob_29': np.float64(0.18136212026601195), '2-go_prob_30': np.float64(0.7829068800108755), '2-go_prob_31': np.float64(0.8331729661208631), '2-go_prob_32': np.float64(0.25482517636160806), '2-go_prob_33': np.float64(0.2144199184539296), '2-go_prob_34': np.float64(0.7597245088179964), '2-go_prob_35': np.float64(0.47426114021676), '2-go_prob_36': np.float64(0.028014167892795983), '2-go_prob_37': np.float64(0.75260431034526), '2-go_prob_38': np.float64(0.12264723934136279), '2-go_prob_39': np.float64(0.14478999984633267), '2-go_prob_40': np.float64(0.992353137917244), '2-go_prob_41': np.float64(0.5426205723688391), '2-go_prob_42': np.float64(0.5221392907338028), '2-go_prob_43': np.float64(0.06098279365296222), '2-go_prob_44': np.float64(0.5182471161936735), '2-go_prob_45': np.float64(0.16635479651759877), '2-go_prob_46': np.float64(0.37206279858316005), '2-go_prob_47': np.float64(0.6648248464226698), '2-go_prob_48': np.float64(0.7272698789164886), '2-go_prob_49': np.float64(0.3132155780287035), '2-go_prob_50': np.float64(0.37498336307177593), '2-go_prob_51': np.float64(0.4004619343689644), '2-go_prob_52': np.float64(0.7006638001052358), '2-go_prob_53': np.float64(0.9515403640789983), '2-go_prob_54': np.float64(0.8625100666439416), '2-go_prob_55': np.float64(0.9120620587283743), '2-go_prob_56': np.float64(0.0006403469108348103), '2-go_prob_57': np.float64(0.14715236356499273), '2-go_prob_58': np.float64(0.3548849144132421), '2-go_prob_59': np.float64(0.5884112272831094), '2-go_prob_60': np.float64(0.5262234162908707), '2-go_prob_61': np.float64(0.23913070475320397), '2-go_prob_62': np.float64(0.490400686682103), '2-go_prob_63': np.float64(0.7863769611715696), '3-go_prob_0': np.float64(0.45532139388754345), '3-go_prob_1': np.float64(0.4950771643633701), '3-go_prob_2': np.float64(0.9704518586905324), '3-go_prob_3': np.float64(0.9857319351254787), '3-go_prob_4': np.float64(0.9350369276967604), '3-go_prob_5': np.float64(0.9410895909282468), '3-go_prob_6': np.float64(0.4235471117291165), '3-go_prob_7': np.float64(0.006161891190904489), '3-go_prob_8': np.float64(0.7302887144752193), '3-go_prob_9': np.float64(0.4285176438689795), '3-go_prob_10': np.float64(0.015505392828931042), '3-go_prob_11': np.float64(0.4619056999230615), '3-go_prob_12': np.float64(0.7516996006785794), '3-go_prob_13': np.float64(0.22564825787593956), '3-go_prob_14': np.float64(0.08169275100649198), '3-go_prob_15': np.float64(0.420570558129825), '3-go_prob_16': np.float64(0.24633844994707377), '3-go_prob_17': np.float64(0.13705432775481274), '3-go_prob_18': np.float64(0.3716818140355723), '3-go_prob_19': np.float64(0.45136853544497635), '3-go_prob_20': np.float64(0.8963793914129161), '3-go_prob_21': np.float64(0.5591777276083095), '3-go_prob_22': np.float64(0.5916016445020599), '3-go_prob_23': np.float64(0.4680791815736275), '3-go_prob_24': np.float64(0.6190542054340838), '3-go_prob_25': np.float64(0.4184262944607383), '3-go_prob_26': np.float64(0.3325591442412994), '3-go_prob_27': np.float64(0.030042744445813785), '3-go_prob_28': np.float64(0.5970099037535384), '3-go_prob_29': np.float64(0.22978300284668596), '3-go_prob_30': np.float64(0.605537098597974), '3-go_prob_31': np.float64(0.02338953100271357), '3-go_prob_32': np.float64(0.13281193767751776), '3-go_prob_33': np.float64(0.7165463759414654), '3-go_prob_34': np.float64(0.4108137707663103), '3-go_prob_35': np.float64(0.6549809353730912), '3-go_prob_36': np.float64(0.04824018913933592), '3-go_prob_37': np.float64(0.0501226643298871), '3-go_prob_38': np.float64(0.16917680197890383), '3-go_prob_39': np.float64(0.5009465732242441), '3-go_prob_40': np.float64(0.3692009592599603), '3-go_prob_41': np.float64(0.8304313752514161), '3-go_prob_42': np.float64(0.9525374247928838), '3-go_prob_43': np.float64(0.039805019526080176), '3-go_prob_44': np.float64(0.8432518555664074), '3-go_prob_45': np.float64(0.09444089931236288), '3-go_prob_46': np.float64(0.7051311033022571), '3-go_prob_47': np.float64(0.9653925186622788), '3-go_prob_48': np.float64(0.4391090071459479), '3-go_prob_49': np.float64(0.4420690879691077), '3-go_prob_50': np.float64(0.16773258536370372), '3-go_prob_51': np.float64(0.9083301675734108), '3-go_prob_52': np.float64(0.22859929164085968), '3-go_prob_53': np.float64(0.7351903324575114), '3-go_prob_54': np.float64(0.03956268996947432), '3-go_prob_55': np.float64(0.08458267745668979), '3-go_prob_56': np.float64(0.8737998138593867), '3-go_prob_57': np.float64(0.32494229672456243), '3-go_prob_58': np.float64(0.26307270984554565), '3-go_prob_59': np.float64(0.828170972519913), '3-go_prob_60': np.float64(0.15023664703593098), '3-go_prob_61': np.float64(0.9654717815766737), '3-go_prob_62': np.float64(0.3685171118056413), '3-go_prob_63': np.float64(0.16048735161402972), '4-go_prob_0': np.float64(0.6523225366703005), '4-go_prob_1': np.float64(0.8119835374291889), '4-go_prob_2': np.float64(0.8809486463693699), '4-go_prob_3': np.float64(0.8392803833118027), '4-go_prob_4': np.float64(0.17054421362682992), '4-go_prob_5': np.float64(0.03565526055892676), '4-go_prob_6': np.float64(0.7152248944695803), '4-go_prob_7': np.float64(0.37069171432806314), '4-go_prob_8': np.float64(0.1448215786951298), '4-go_prob_9': np.float64(0.6289504788269028), '4-go_prob_10': np.float64(0.8508287468817641), '4-go_prob_11': np.float64(0.595622599936702), '4-go_prob_12': np.float64(0.47498665594633926), '4-go_prob_13': np.float64(0.031189298535856835), '4-go_prob_14': np.float64(0.7531824342204851), '4-go_prob_15': np.float64(0.2859354211352224), '4-go_prob_16': np.float64(0.9188206151221452), '4-go_prob_17': np.float64(0.17240834190691312), '4-go_prob_18': np.float64(0.23369848319165565), '4-go_prob_19': np.float64(0.6504204036032506), '4-go_prob_20': np.float64(0.790566235649751), '4-go_prob_21': np.float64(0.6362183112778537), '4-go_prob_22': np.float64(0.7060990485447705), '4-go_prob_23': np.float64(0.8571406215492213), '4-go_prob_24': np.float64(0.49311045929401476), '4-go_prob_25': np.float64(0.8392069328402448), '4-go_prob_26': np.float64(0.49939511517695934), '4-go_prob_27': np.float64(0.7494518487808558), '4-go_prob_28': np.float64(0.46001865496967764), '4-go_prob_29': np.float64(0.7749478761911639), '4-go_prob_30': np.float64(0.4367543700339659), '4-go_prob_31': np.float64(0.9224014659056915), '4-go_prob_32': np.float64(0.9667596659940181), '4-go_prob_33': np.float64(0.3530801898654935), '4-go_prob_34': np.float64(0.03409842577570532), '4-go_prob_35': np.float64(0.19786909464239066), '4-go_prob_36': np.float64(0.43157142445282015), '4-go_prob_37': np.float64(0.8097578997903364), '4-go_prob_38': np.float64(0.22795793276998266), '4-go_prob_39': np.float64(0.7353263999359183), '4-go_prob_40': np.float64(0.8939544614955475), '4-go_prob_41': np.float64(0.6929848246498638), '4-go_prob_42': np.float64(0.1094712198279465), '4-go_prob_43': np.float64(0.6318686588847222), '4-go_prob_44': np.float64(0.08694723625972622), '4-go_prob_45': np.float64(0.8040555421472604), '4-go_prob_46': np.float64(0.18403572037053684), '4-go_prob_47': np.float64(0.4435130739718489), '4-go_prob_48': np.float64(0.22429459035156374), '4-go_prob_49': np.float64(0.18940963056059057), '4-go_prob_50': np.float64(0.67027556134563), '4-go_prob_51': np.float64(0.9123849959949436), '4-go_prob_52': np.float64(0.9149778871055183), '4-go_prob_53': np.float64(0.27426414639183516), '4-go_prob_54': np.float64(0.5852118984767276), '4-go_prob_55': np.float64(0.5072269820581334), '4-go_prob_56': np.float64(0.8716264498413908), '4-go_prob_57': np.float64(0.3578891220342155), '4-go_prob_58': np.float64(0.3260264851937368), '4-go_prob_59': np.float64(0.9318329358731331), '4-go_prob_60': np.float64(0.6619770185081398), '4-go_prob_61': np.float64(0.9997571971933081), '4-go_prob_62': np.float64(0.6106417688369803), '4-go_prob_63': np.float64(0.33211611474115377), '5-go_prob_0': np.float64(0.40953353568885387), '5-go_prob_1': np.float64(0.4985462296881005), '5-go_prob_2': np.float64(0.8489895602904973), '5-go_prob_3': np.float64(0.2924472789756597), '5-go_prob_4': np.float64(0.37944005512835544), '5-go_prob_5': np.float64(0.5547150880282009), '5-go_prob_6': np.float64(0.48107924848886163), '5-go_prob_7': np.float64(0.9276911159968757), '5-go_prob_8': np.float64(0.7745973078282213), '5-go_prob_9': np.float64(0.3874416913932984), '5-go_prob_10': np.float64(0.4857575608985317), '5-go_prob_11': np.float64(0.29713082444193917), '5-go_prob_12': np.float64(0.7963545990804013), '5-go_prob_13': np.float64(0.5021321370204589), '5-go_prob_14': np.float64(0.8427312777457489), '5-go_prob_15': np.float64(0.7773523220091481), '5-go_prob_16': np.float64(0.28428221243715135), '5-go_prob_17': np.float64(0.8274904976567438), '5-go_prob_18': np.float64(0.431539906480607), '5-go_prob_19': np.float64(0.6776760113646882), '5-go_prob_20': np.float64(0.1476473438233229), '5-go_prob_21': np.float64(0.06869981693886695), '5-go_prob_22': np.float64(0.6819781887387389), '5-go_prob_23': np.float64(0.6548933908217452), '5-go_prob_24': np.float64(0.0933779320517979), '5-go_prob_25': np.float64(0.22415089249499853), '5-go_prob_26': np.float64(0.8935912476441653), '5-go_prob_27': np.float64(0.48815219221413897), '5-go_prob_28': np.float64(0.2346666343012992), '5-go_prob_29': np.float64(0.6697961343638691), '5-go_prob_30': np.float64(0.5160577299881904), '5-go_prob_31': np.float64(0.6005333105693802), '5-go_prob_32': np.float64(0.258120244907568), '5-go_prob_33': np.float64(0.3482996653873217), '5-go_prob_34': np.float64(0.7151951347806904), '5-go_prob_35': np.float64(0.019239058040549817), '5-go_prob_36': np.float64(0.838582170258186), '5-go_prob_37': np.float64(0.34749659543354094), '5-go_prob_38': np.float64(0.3368482616896833), '5-go_prob_39': np.float64(0.34856657350522036), '5-go_prob_40': np.float64(0.26312300761558527), '5-go_prob_41': np.float64(0.594178465230969), '5-go_prob_42': np.float64(0.9496475327908025), '5-go_prob_43': np.float64(0.44790991487871434), '5-go_prob_44': np.float64(0.8154631239174809), '5-go_prob_45': np.float64(0.4766774650921046), '5-go_prob_46': np.float64(0.1483093135959479), '5-go_prob_47': np.float64(0.7917752629572667), '5-go_prob_48': np.float64(0.5722414269333302), '5-go_prob_49': np.float64(0.8328230805422652), '5-go_prob_50': np.float64(0.7538968326819052), '5-go_prob_51': np.float64(0.09626628380498381), '5-go_prob_52': np.float64(0.32785097127737994), '5-go_prob_53': np.float64(0.7495463395508446), '5-go_prob_54': np.float64(0.834788176182576), '5-go_prob_55': np.float64(0.40158929956228073), '5-go_prob_56': np.float64(0.023351898729737974), '5-go_prob_57': np.float64(0.806614509006158), '5-go_prob_58': np.float64(0.589974505023969), '5-go_prob_59': np.float64(0.5439518889909579), '5-go_prob_60': np.float64(0.10551072005119078), '5-go_prob_61': np.float64(0.6285730381201626), '5-go_prob_62': np.float64(0.8918205756851857), '5-go_prob_63': np.float64(0.14706127337343022)}"
3,WSLS-M1,0.27,"{'inverse_temperature': np.float64(15.06956171678198), 'wsls_strength': np.float64(6.030810783469091), 'heuristic_strength': np.float64(0.19243792598331688)}"
4,WSLS-M2,0.3673015873015873,"{'inverse_temperature': np.float64(20.046952075805905), 'wsls_strength': np.float64(1.4675589081711304), 'heuristic_strength': np.float64(0.0923385947687978)}"
5,WSLS-M3,0.23634920634920634,"{'inverse_temperature': np.float64(27.274762345384534), 'wsls_strength': np.float64(7.223347482549105), 'heuristic_strength': np.float64(0.03563765167647617)}"
6,Payoff-M1,0.5,"{'inverse_temperature': np.float64(49.18462189636694), 'learning_rate': np.float64(0.04352643196410975)}"
7,Payoff-M2,0.4801587301587302,"{'inverse_temperature': np.float64(12.742948974763564), 'learning_rate': np.float64(0.34160484909443045)}"
8,Payoff-M3,0.3826984126984127,"{'inverse_temperature': np.float64(12.734393316793266), 'learning_rate': np.float64(0.34556072704304774)}"
9,Attendance-M1,0.4955555555555556,"{'inverse_temperature': np.float64(20.046952075805905), 'learning_rate': np.float64(0.14675589081711304), 'bias': np.float64(0.0923385947687978)}"
10,Attendance-M2,0.493015873015873,"{'inverse_temperature': np.float64(19.997098542089446), 'learning_rate': np.float64(0.28893824477107344), 'bias': np.float64(0.44643649561049004)}"
11,Attendance-M3,0.446984126984127,"{'inverse_temperature': np.float64(20.274081945459578), 'learning_rate': np.float64(0.5492750979407851), 'bias': np.float64(0.701209765029225)}"
12,AvailableSpace-M1,0.5,"{'inverse_temperature': np.float64(20.046952075805905), 'learning_rate': np.float64(0.14675589081711304), 'bias': np.float64(0.0923385947687978)}"
13,AvailableSpace-M2,0.5,"{'inverse_temperature': np.float64(36.197459192082356), 'learning_rate': np.float64(0.15501079819436425), 'bias': np.float64(0.9060965093990814)}"
14,AvailableSpace-M3,0.5,"{'inverse_temperature': np.float64(36.197459192082356), 'learning_rate': np.float64(0.15501079819436425), 'bias': np.float64(0.9060965093990814)}"
15,Fairness-M1,0.49777777777777776,"{'inverse_temperature': np.float64(20.046952075805905), 'learning_rate': np.float64(0.14675589081711304), 'bias': np.float64(0.0923385947687978)}"
16,Fairness-M2,0.4926984126984127,"{'inverse_temperature': np.float64(20.47833667312604), 'learning_rate': np.float64(0.18911973498183893), 'bias': np.float64(0.01)}"
17,Fairness-M3,0.37746031746031744,"{'inverse_temperature': np.float64(20.241994685437792), 'learning_rate': np.float64(0.29424322534198605), 'bias': np.float64(0.06966708609664841)}"
18,MFP-M1,0.5,"{'inverse_temperature': np.float64(27.272386296262162), 'belief_strength': np.float64(72.31212485077366)}"
19,MFP-M2,0.5,"{'inverse_temperature': np.float64(14.544518036833349), 'belief_strength': np.float64(3.225014102528389)}"
20,MFP-M3,0.5,"{'inverse_temperature': np.float64(37.97885354665385), 'belief_strength': np.float64(1.0)}"
21,FRA,0.3742857142857143,"{'inverse_temperature': np.float64(48.15711261804855), 'len_history': np.float64(2.0549379778818775), 'max_regions': np.float64(4.0877527785762675), 'c': np.float64(0.6668482865781574)}"
22,FRA+Payoff+Attendance,0.4776190476190476,"{'inverse_temperature': np.float64(62.47473170966418), 'bias': np.float64(0.5824956315642531), 'learning_rate': np.float64(0.46082644523481026), 'len_history': np.float64(6.398657717363253), 'max_regions': np.float64(9.07180058798264), 'c': np.float64(0.0), 'delta': np.float64(0.5605817559312835)}"
